battery_no,cycle_idx,num_cycles,cycle_frac,cycle_label,qnom_init_ah,soh_true,qnom_start_frac,rmse_ekf,rmse_v,residual_mean,residual_std,residual_late_mean,residual_end_minus_mid,residual_abs_area,residual_peak_abs,cluster_raw,cluster_shape
50,3,3,1,last,1.07046849946615,1.02758745404332,0.463395308850124,0.256017614018878,0.192571684920433,-0.219087016578667,0.136530327297126,-0.0948957639018904,0.355303323506352,0.221341642782027,0.438748982169113,2,1
52,1,3,0.333333333333333,first,1.08007229029369,1.01845034807891,1,0.0570452466826566,0.112269120307361,0.0519963911788194,0.0236488416829215,0.0723924899550341,0.007885559820393,0.0520382719485241,0.0733776572630023,1,2
52,2,3,0.666666666666667,middle,1.08007229029369,1.01845034807891,0.456887639488148,0.252862744642282,0.193131422775735,-0.216358175690385,0.134890196498018,-0.0948987038554966,0.352977194966265,0.2184589380811,0.442264331109587,2,1
52,3,3,1,last,1.08007229029369,1.01845034807891,0.456657402572513,0.238065861768356,0.188308235469959,-0.201898247610541,0.129847650447252,-0.0947930898380756,0.323882080901788,0.203659721222957,0.40085731071457,2,1
54,1,3,0.333333333333333,first,1.06665549942589,1.03126079656652,1,0.0529099606622017,0.112440992036306,0.0482748667350691,0.0218598491884009,0.0637579289358305,0.00283754731265975,0.0483154140080489,0.0693138121596963,1,2
54,2,3,0.666666666666667,middle,1.06665549942589,1.03126079656652,0.461057357646637,0.251882764866427,0.193901913159454,-0.215541868514366,0.134322480302494,-0.0949013471128124,0.349511077613258,0.217827619656107,0.439715739398635,2,1
54,3,3,1,last,1.06665549942589,1.03126079656652,0.461925695005073,0.251643981441015,0.192974586814079,-0.215392382195095,0.134113820367532,-0.0948958018435352,0.347566351797135,0.21756454536866,0.433054709991112,2,1
56,1,3,0.333333333333333,first,1.04844139912945,1.04917642599134,1,0.0446901952661351,0.111852463390605,0.0416756059719302,0.0164506717923089,0.0491126581884396,-0.00584054069038873,0.0417280616098607,0.0582445030383607,1,2
56,2,3,0.666666666666667,middle,1.04844139912945,1.04917642599134,0.469372824672378,0.252308929348907,0.193032307408757,-0.216051587430881,0.134324453508638,-0.0948969262717179,0.35078144496182,0.218105919831669,0.439857478598625,2,1
56,3,3,1,last,1.04844139912945,1.04917642599134,0.474124898240903,0.2561844275357,0.195009088213435,-0.219370577421172,0.136387164737578,-0.09496855949244,0.358069140889428,0.221383659803595,0.446863425133494,2,1
58,1,3,0.333333333333333,first,1.07644389566282,1.02188326250173,1,0.0611170857546694,0.112332646538052,0.0566024088508308,0.0232363059077005,0.0756380925953684,0.00759946093324486,0.0566531522255692,0.0799014738477896,1,2
58,2,3,0.666666666666667,middle,1.07644389566282,1.02188326250173,0.454602017366543,0.25264418002317,0.192384424988577,-0.216526976920126,0.134203262765528,-0.0949089811500733,0.350770607029576,0.218661544242768,0.435270445128356,2,1
58,3,3,1,last,1.07644389566282,1.02188326250173,0.452788608774713,0.255170945382268,0.195478016022985,-0.218117585505204,0.136463328329807,-0.0949269387707261,0.355762937342378,0.220388268630031,0.438529223467716,2,1
60,1,3,0.333333333333333,first,1.0742457,1.0239743105325,1,0.0571003934071092,0.112293105794132,0.0523044063690629,0.0230680237948856,0.0705436604719647,0.00685505086555355,0.0523454133082211,0.0742069266871724,1,2
60,2,3,0.666666666666667,middle,1.0742457,1.0239743105325,0.456279284205345,0.245316488137271,0.193719494856056,-0.208388452046403,0.133263355724735,-0.0948788632520964,0.34197140719958,0.210571891804308,0.429577011750045,2,1
60,3,3,1,last,1.0742457,1.0239743105325,0.457849427278536,0.227433093904023,0.185681654529932,-0.190750448223212,0.127305434833308,-0.0948160623727892,0.305507918181069,0.192456403529743,0.39687266924812,2,1
62,1,3,0.333333333333333,first,1.0671072998436,1.03082417312788,1,0.0602247393118754,0.112410858402672,0.0562077383163441,0.022050560817344,0.0678494609899416,-0.00448518616305245,0.0562905240157446,0.0758268379279121,1,2
62,2,3,0.666666666666667,middle,1.0671072998436,1.03082417312788,0.459652453751457,0.250871864220576,0.193202475917355,-0.212393866299792,0.137402994811772,-0.094928910090963,0.351381324424329,0.214774336069604,0.441330559384516,2,1
62,3,3,1,last,1.0671072998436,1.03082417312788,0.458427380447622,0.253358618826219,0.195685746211036,-0.216014917393515,0.136388263396515,-0.0948931955216194,0.354509728588918,0.218040154632514,0.441921805095565,2,1
64,1,3,0.333333333333333,first,1.06561419809191,1.03226852830007,1,0.050884337195592,0.111883772056291,0.0484293041849503,0.0159132489825976,0.0559476834015648,-0.0049752688357594,0.0484876123549759,0.0631790133350082,1,2
64,2,3,0.666666666666667,middle,1.06561419809191,1.03226852830007,0.464160021944531,0.24069199482159,0.191290325289487,-0.205589926013942,0.128955911485121,-0.0949101804429238,0.328501125999534,0.207659241676225,0.422926755196692,2,1
64,3,3,1,last,1.06561419809191,1.03226852830007,0.456260871577146,0.239862906907042,0.191421040986538,-0.202447212666333,0.132325632042953,-0.0948847575583934,0.331458581374011,0.204249281652095,0.420355729088929,2,1
66,1,3,0.333333333333333,first,1.07221152918681,1.02591696699462,1,0.0581054134431247,0.111874335878201,0.0544154439580997,0.0204461677300779,0.0730079799837762,0.0108913563344731,0.054454329474021,0.0790611859898374,1,2
66,2,3,0.666666666666667,middle,1.07221152918681,1.02591696699462,0.454609897930128,0.257977601845046,0.197508123554581,-0.220153292145522,0.138536691626337,-0.094980412456279,0.363701845489774,0.222209724778237,0.450982608654604,2,1
66,3,3,1,last,1.07221152918681,1.02591696699462,0.460811830700117,0.250426363397594,0.194591081767714,-0.21293523951273,0.135711854964445,-0.0949438690190401,0.350940342944761,0.215115710181371,0.440206166806647,2,1
68,1,3,0.333333333333333,first,1.07278879825348,1.02536491972215,1,0.0429678187136617,0.112031042801851,0.0399933290898157,0.0157277115121196,0.0535460081904053,0.0055317096283136,0.0400066704491903,0.0578291149041884,1,2
68,2,3,0.666666666666667,middle,1.07278879825348,1.02536491972215,0.464088941489455,0.25002454335935,0.195480856756572,-0.212999381121568,0.134865174915865,-0.0949072215666299,0.35027071743132,0.215043073297586,0.441303747805118,2,1
68,3,3,1,last,1.07278879825348,1.02536491972215,0.457651313971469,0.250690746459766,0.196707138095156,-0.211267795281945,0.138797629833271,-0.0949399394849694,0.355417247021909,0.213718823072413,0.445508933566191,2,1
70,1,3,0.333333333333333,first,1.0788994,1.0195575231574,1,0.0589271785004799,0.112211794537966,0.0554096663296444,0.0200300242140376,0.0712379509272749,0.0068698104423236,0.0554425512574871,0.0828378059803491,1,2
70,2,3,0.666666666666667,middle,1.0788994,1.0195575231574,0.452286087924189,0.254569422034249,0.198184961283003,-0.216623346526959,0.137702393954928,-0.0949555420134676,0.359374531673525,0.218688592331809,0.447260215477551,2,1
70,3,3,1,last,1.0788994,1.0195575231574,0.461249825918145,0.244952071700041,0.194735492809049,-0.207341375025224,0.134220578439432,-0.0948955287911881,0.34102869680141,0.209521630493743,0.432318595110193,2,1
72,1,3,0.333333333333333,first,1.068511,1.02946998205915,1,0.0506883828391976,0.1125912348401,0.0478748045794147,0.0165782085426027,0.0617325700290459,0.00750645048491289,0.047893009205653,0.0721428123579901,1,2
72,2,3,0.666666666666667,middle,1.068511,1.02946998205915,0.457369615912907,0.252793052796706,0.197313958085119,-0.214419293161025,0.137825309054352,-0.0949780980806613,0.357368427408248,0.216568072328152,0.448614157574938,2,1
72,3,3,1,last,1.068511,1.02946998205915,0.465450359710741,0.244168166612655,0.193851906921439,-0.206548447332161,0.133992119508943,-0.094891455374895,0.341051483647536,0.208648269241461,0.430141117746031,2,1
74,1,3,0.333333333333333,first,1.07451149402595,1.0237210175189,1,0.0492272266643782,0.114075433461538,0.0469227931271798,0.0148363964725402,0.0575199798879914,0.00408878911998493,0.0469459890476888,0.0687513837608641,1,2
74,2,3,0.666666666666667,middle,1.07451149402595,1.0237210175189,0.459795737096747,0.252966116182533,0.200301485522382,-0.21380094128752,0.139103497685905,-0.0949135885881305,0.362241243965914,0.21590571458155,0.449804604032057,2,1
74,3,3,1,last,1.07451149402595,1.0237210175189,0.462432721050285,0.255615445542665,0.198352097305141,-0.217361498548234,0.138503827773553,-0.0949594549731798,0.362493757136241,0.21953043924742,0.453784842489041,2,1
76,1,3,0.333333333333333,first,1.07784116903145,1.02055853089047,1,0.054800550552936,0.113438171901584,0.0516860207936429,0.018179048256951,0.0673861980123618,0.00782190504788044,0.0517133290199465,0.0770523719669842,1,2
76,2,3,0.666666666666667,middle,1.07784116903145,1.02055853089047,0.456018807490597,0.238671947714063,0.193001750526118,-0.198455775549085,0.136151043846909,-0.0949118660286459,0.335533905823051,0.200586039197309,0.424096854626923,2,1
76,3,3,1,last,1.07784116903145,1.02055853089047,0.459939584003225,0.243168129546197,0.194093871483654,-0.204715811892652,0.134948787455614,-0.0948660476073038,0.339926649876744,0.20662838596592,0.428008790729839,2,1
78,1,3,0.333333333333333,first,1.0677951976137,1.03016009292632,1,0.037664894810648,0.11279674902828,0.0360148244858129,0.010866594543601,0.0432643695664784,0.00432189727882218,0.0360147345108986,0.0538746433142716,1,2
78,2,3,0.666666666666667,middle,1.0677951976137,1.03016009292632,0.466277889908732,0.235569049061502,0.190897880398681,-0.197836419552783,0.131464720426236,-0.0948394284245707,0.325371491835035,0.199654799675515,0.412350902347268,2,1
78,3,3,1,last,1.0677951976137,1.03016009292632,0.465682226090267,0.248108040300165,0.192666182017282,-0.20921278844333,0.137186369479335,-0.0949167950470615,0.350737683370226,0.211170782923383,0.436983037739132,2,1
80,1,3,0.333333333333333,first,1.07347699776183,1.02470756457145,1,0.0514638462857695,0.113463600110096,0.0493733545813689,0.0144314191761305,0.0618144621035441,0.00876933260266394,0.04939867366644,0.0730198036297457,1,2
80,2,3,0.666666666666667,middle,1.07347699776183,1.02470756457145,0.458390143740883,0.249808048357113,0.195645909388118,-0.210606118809198,0.138183962635577,-0.0949218379523091,0.35426994254205,0.212643272307247,0.44313101315558,2,1
80,3,3,1,last,1.07347699776183,1.02470756457145,0.454713797242781,0.248300376890684,0.195718440339795,-0.207889289898383,0.139527745872668,-0.0949693565496634,0.352793197670604,0.209905961045927,0.442446512385242,2,1
82,1,3,0.333333333333333,first,1.07023689961495,1.02780982453114,1,0.0498430721172831,0.11367872309641,0.0481988969170097,0.0127579034647132,0.0551343868902107,0.00321170206691121,0.0482372829944914,0.0667769245626617,1,2
82,2,3,0.666666666666667,middle,1.07023689961495,1.02780982453114,0.461924827675152,0.254100537297699,0.198850442925937,-0.213900426344238,0.141040421710878,-0.0949692822379538,0.365242527941511,0.216109111091439,0.453648492900929,2,1
82,3,3,1,last,1.07023689961495,1.02780982453114,0.465657023470862,0.240388912251786,0.19371188745698,-0.198368852207792,0.139317586985509,-0.0948759424643663,0.339672959220814,0.20124625787632,0.428649691544398,2,1
