scenario_name,battery_no,num_cycles_evaluated,mean_rmse_ekf,mean_rmse_gpr,mean_rmse_ekf_late,mean_rmse_gpr_late,num_gpr_improved_vs_ekf,num_gpr_worse_vs_ekf,gpr_improve_rate_vs_ekf,gpr_failure_rate_vs_ekf,num_qnom_clamped_cycles
init_soc_plus5,65,3,0.0474156930421712,0.0421613144494703,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
init_soc_plus5,67,3,0.0448851465305982,0.0401215999470194,NaN,NaN,3,0,1,0,3
init_soc_plus5,69,3,0.0431642227745411,0.0410275187988363,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
init_soc_plus5,71,3,0.0456333989959887,0.0393378473287913,NaN,NaN,3,0,1,0,3
init_soc_plus5,73,3,0.0422667075586891,0.0412921861575038,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
init_soc_plus5,75,3,0.0363915452149167,0.037719616490452,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,77,3,0.0365467937142073,0.0369867628853683,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
init_soc_plus5,79,3,0.0367993551612202,0.0392656257043861,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,81,3,0.0306684887083531,0.0342368728371909,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,83,3,0.0360497674650168,0.0355954024811256,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,84,3,0.0241648589620116,0.0219210135899028,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
