scenario_name,battery_no,cycle_idx,phase,soh_proxy,qnom_was_clamped,init_soc_offset,i_noise_mult,v_noise_mult,current_bias_frac,rmse_ekf,rmse_gpr,delta_gpr_vs_ekf,res_energy_ekf,res_energy_gpr,late_peak_ekf,late_t_ekf,late_peak_gpr,late_t_gpr,mid_valley_ekf,mid_t_ekf,mid_valley_gpr,mid_t_gpr,rmse_v
baseline,43,3,LAST,0.94,1,0,1,1,0,0.0190457067961489,0.0279163598852987,0.00887065308914983,0.00036722607424822,0.000782928446743617,0.0256459580090347,0.704545454545455,0.0459190993952959,0.863636363636364,0.00799803516288322,0.159090909090909,-0.0220019648371168,0.159090909090909,0.117354233355886
baseline,45,1,FIRST,1,1,0,1,1,0,0.0522192688576344,0.0557881984355757,0.00356892957794132,0.00273397278122099,0.00307225729325333,0.0689126157537796,0.977272727272727,0.0986267620685002,0.977272727272727,0.015041136331482,0.159090909090909,-0.014958863668518,0.159090909090909,0.108929658159351
baseline,45,2,MIDDLE,0.97,1,0,1,1,0,0.0303347431425875,0.0409182967976017,0.0105835536550141,0.000929587345847287,0.00167278485227148,0.041048379900796,0.727272727272727,0.0675131676376495,0.886363636363636,0.00805965394518335,0.159090909090909,-0.0219403460548167,0.159090909090909,0.102601111143405
baseline,45,3,LAST,0.94,1,0,1,1,0,0.0254682617593663,0.0283876514204912,0.00291938966112486,0.000658729033947346,0.000803272937998011,0.0356533613537268,0.704545454545455,0.047051024853704,0.954545454545455,0.00918929835975665,0.159090909090909,-0.0208107016402433,0.159090909090909,0.105294039710115
baseline,47,1,FIRST,1,1,0,1,1,0,0.0517195890863003,0.0562377279231557,0.0045181388368554,0.00268476610114885,0.00312945462070984,0.0704139317926554,0.840909090909091,0.0948814705432628,0.954545454545455,0.0116205594878737,0.159090909090909,-0.0183794405121263,0.159090909090909,0.113471933990718
baseline,47,2,MIDDLE,0.97,1,0,1,1,0,0.0454719025540337,0.043631441400134,-0.00184046115389967,0.00208837046314301,0.00188004550280355,0.061465567497066,0.75,0.076740292988062,0.977272727272727,0.0170806368587859,0.159090909090909,-0.0129193631412141,0.159090909090909,0.117023633982519
baseline,47,3,LAST,0.94,1,0,1,1,0,0.0241735397163574,0.0273911635193883,0.00321762380303089,0.00059357609449466,0.000749484286252588,0.0338176110519406,0.704545454545455,0.0444741389024755,0.886363636363636,0.0118344044741686,0.159090909090909,-0.0181655955258314,0.159090909090909,0.107496418204477
baseline,49,1,FIRST,1,1,0,1,1,0,0.0543258042158536,0.0565560391006128,0.00223023488475924,0.00296381341308743,0.00316091286253085,0.0718574649420837,0.931818181818182,0.0989901116951101,0.977272727272727,0.0181878047094291,0.159090909090909,-0.0118121952905709,0.159090909090909,0.109392974092848
baseline,49,2,MIDDLE,0.97,1,0,1,1,0,0.0387304257494248,0.0424885855094112,0.00375815975998633,0.00151369759794042,0.00178951652628149,0.0501777893992039,0.727272727272727,0.0738065344696692,0.977272727272727,0.0184080147004226,0.159090909090909,-0.0115919852995774,0.159090909090909,0.109246543754144
baseline,49,3,LAST,0.94,1,0,1,1,0,0.0211809099259502,0.0282542028719416,0.00707329294599144,0.000454805279195989,0.000798899958697002,0.0325339385366327,0.704545454545455,0.0458048722990969,0.931818181818182,0.0108002167933654,0.159090909090909,-0.0191997832066346,0.159090909090909,0.114212492951456
baseline,51,1,FIRST,1,1,0,1,1,0,0.0574692774564826,0.0584299959083195,0.000960718451836894,0.00331295297378325,0.00336661966657202,0.0754440146436893,0.977272727272727,0.102178092514364,0.977272727272727,0.0187114057624861,0.159090909090909,-0.0112885942375139,0.159090909090909,0.110968339290189
baseline,51,2,MIDDLE,0.97,1,0,1,1,0,0.0475376497744577,0.0451284272470308,-0.00240922252742693,0.0022723695133764,0.00200099448611649,0.0621093061182989,0.75,0.0815024446058795,0.977272727272727,0.020538075664881,0.159090909090909,-0.00946192433511903,0.159090909090909,0.110862321841489
baseline,51,3,LAST,0.94,1,0,1,1,0,0.0192130276667594,0.0285179985712686,0.00930497090450918,0.000373315096829698,0.000812987582371918,0.0267381211800215,0.704545454545455,0.044168817527139,0.863636363636364,0.00787090087555331,0.159090909090909,-0.0221290991244467,0.159090909090909,0.113327544955522
