scenario_name,battery_no,cycle_idx,qnom_start_frac,qnom_was_clamped,init_soc_offset,i_noise_mult,v_noise_mult,current_bias_frac,rmse_ekf,rmse_gpr,delta_gpr_vs_ekf,rmse_ekf_late,rmse_gpr_late,delta_gpr_vs_ekf_late,mean_abs_residual_pred,rmse_v,is_gpr_improved_vs_ekf,is_gpr_worse_vs_ekf,is_selected_cycle
baseline,73,2,0.97,1,0,1,1,0,0.0393576757763755,0.0423763305654814,0.00301865478910587,NaN,NaN,NaN,0.0209154217701105,0.106940233662299,0,1,1
baseline,73,3,0.94,1,0,1,1,0,0.0239445964663976,0.0236413250566386,-0.000303271409758974,NaN,NaN,NaN,0.022215310000815,0.106171369359615,1,0,1
baseline,75,1,1,1,0,1,1,0,0.0528610246739431,0.0521711990543089,-0.000689825619634224,NaN,NaN,NaN,0.0209809979078156,0.117156901992272,1,0,1
baseline,75,2,0.97,1,0,1,1,0,0.0307886470868646,0.0345473609267389,0.00375871383987428,NaN,NaN,NaN,0.0218060542229549,0.107382324453772,0,1,1
baseline,75,3,0.94,1,0,1,1,0,0.0224974652473649,0.0207478487164865,-0.00174961653087839,NaN,NaN,NaN,0.0224076586621447,0.0951881453860907,1,0,1
baseline,77,1,1,1,0,1,1,0,0.0524025831749338,0.0535400579868952,0.00113747481196144,NaN,NaN,NaN,0.0198643660622439,0.114922081825725,0,1,1
baseline,77,2,0.97,1,0,1,1,0,0.0335602848079987,0.0369811965964208,0.0034209117884221,NaN,NaN,NaN,0.021609074696692,0.109645419536091,0,1,1
baseline,77,3,0.94,1,0,1,1,0,0.0262400208167213,0.0240557838828197,-0.00218423693390158,NaN,NaN,NaN,0.0210987813614534,0.104927562782657,1,0,1
baseline,79,1,1,1,0,1,1,0,0.0485091196231107,0.0525439217244978,0.00403480210138711,NaN,NaN,NaN,0.0211539914643487,0.113045605867141,0,1,1
baseline,79,2,0.97,1,0,1,1,0,0.0339473018734766,0.0376251539180858,0.0036778520446092,NaN,NaN,NaN,0.0215123694022915,0.113624325873788,0,1,1
baseline,79,3,0.94,1,0,1,1,0,0.0193958171286837,0.0227907741743736,0.00339495704568984,NaN,NaN,NaN,0.02057171036265,0.111119355465803,0,1,1
baseline,81,1,1,1,0,1,1,0,0.0493577825946029,0.0498062573361165,0.000448474741513605,NaN,NaN,NaN,0.0207125575624362,0.115897392206083,0,1,1
baseline,81,2,0.97,1,0,1,1,0,0.0286402922657137,0.0325202159894597,0.00387992372374599,NaN,NaN,NaN,0.0214569590026127,0.111033375723445,0,1,1
baseline,81,3,0.94,1,0,1,1,0,0.0171828636964911,0.0172376068316196,5.47431351285085e-05,NaN,NaN,NaN,0.0228528177378877,0.109358361781483,0,1,1
baseline,83,1,1,1,0,1,1,0,0.037672220740576,0.0458969005974087,0.00822467985683271,NaN,NaN,NaN,0.0214166109562063,0.108741856995446,0,1,1
baseline,83,2,0.97,1,0,1,1,0,0.027597741505045,0.0318956172466277,0.00429787574158269,NaN,NaN,NaN,0.0217764463549055,0.117344092652376,0,1,1
baseline,83,3,0.94,1,0,1,1,0,0.0173489027529832,0.019148051233236,0.00179914848025274,NaN,NaN,NaN,0.0209433883456772,0.10441177204631,0,1,1
baseline,84,1,1,1,0,1,1,0,0.0346085869072601,0.0346643200530782,5.57331458180751e-05,NaN,NaN,NaN,0.0217273141367481,0.109140115380515,0,1,1
baseline,84,2,0.97,1,0,1,1,0,0.0239585946668725,0.0217906676395517,-0.00216792702732081,NaN,NaN,NaN,0.0212423946198935,0.111636718125639,1,0,1
baseline,84,3,0.94,1,0,1,1,0,0.0207333605176427,0.0146009073319288,-0.00613245318571388,NaN,NaN,NaN,0.0230073211292011,0.11312023309423,1,0,1
current_bias,1,1,1,1,0,1,1,0.005,0.0319538252904496,0.0442300820224267,0.0122762567319771,NaN,NaN,NaN,0.0205025673920075,0.101567381209917,0,1,1
current_bias,1,2,0.97,1,0,1,1,0.005,0.0174269775526421,0.0342842635764218,0.0168572860237797,NaN,NaN,NaN,0.0219574955898682,0.114610850952837,0,1,1
current_bias,1,3,0.94,1,0,1,1,0.005,0.0199127254956289,0.0311533516109651,0.0112406261153362,NaN,NaN,NaN,0.0226059401579896,0.107945872676013,0,1,1
current_bias,3,1,1,1,0,1,1,0.005,0.0329087004356995,0.0481615461475805,0.015252845711881,NaN,NaN,NaN,0.0215444844146893,0.114881450869729,0,1,1
current_bias,3,2,0.97,1,0,1,1,0.005,0.0278683720795219,0.0398096185095666,0.0119412464300447,NaN,NaN,NaN,0.0186925687938936,0.115442794848351,0,1,1
current_bias,3,3,0.94,1,0,1,1,0.005,0.0124793122295771,0.0307168983665904,0.0182375861370133,NaN,NaN,NaN,0.0216482989824346,0.0997549194133275,0,1,1
current_bias,5,1,1,1,0,1,1,0.005,0.0285297808681026,0.0469163748659607,0.0183865939978581,NaN,NaN,NaN,0.0222699393220816,0.11496988541019,0,1,1
current_bias,5,2,0.97,1,0,1,1,0.005,0.0274511024932784,0.0395347299735018,0.0120836274802234,NaN,NaN,NaN,0.0192571107421252,0.117212120718981,0,1,1
current_bias,5,3,0.94,1,0,1,1,0.005,0.011186577158337,0.0314114157468815,0.0202248385885445,NaN,NaN,NaN,0.0211439721323546,0.112148959673594,0,1,1
current_bias,7,1,1,1,0,1,1,0.005,0.0296410809494294,0.0471417873429475,0.017500706393518,NaN,NaN,NaN,0.0213162516855753,0.116010200956003,0,1,1
current_bias,7,2,0.97,1,0,1,1,0.005,0.0150936591011037,0.035671005534669,0.0205773464335653,NaN,NaN,NaN,0.0213685074510727,0.116471334947617,0,1,1
current_bias,7,3,0.94,1,0,1,1,0.005,0.0146301688558525,0.0328017045237824,0.0181715356679298,NaN,NaN,NaN,0.0207337509338428,0.114638648306877,0,1,1
current_bias,11,1,1,1,0,1,1,0.005,0.0325280320220923,0.0480311493151421,0.0155031172930498,NaN,NaN,NaN,0.0209313235596719,0.108192252061243,0,1,1
current_bias,11,2,0.97,1,0,1,1,0.005,0.0175702945134356,0.0373820941718486,0.019811799658413,NaN,NaN,NaN,0.0209388047876602,0.111597927642729,0,1,1
current_bias,11,3,0.94,1,0,1,1,0.005,0.0126588525691705,0.0331394657418003,0.0204806131726298,NaN,NaN,NaN,0.0206281146550793,0.116587703308692,0,1,1
current_bias,13,1,1,1,0,1,1,0.005,0.0361263836264481,0.0504432457376387,0.0143168621111907,NaN,NaN,NaN,0.0221268328588636,0.108028921833775,0,1,1
